CODI_ESTACIO;NOM_ESTACIO;LATITUD;LONGITUD;Georeferència;EMPLACAMENT;ALTITUD;NOM_MUNICIPI;NOM_COMARCA;CODI_ESTAT;NOM_ESTAT;DATA_ALTA
VH;Gimenells;4.165.814;0.39301;POINT (0.39301 41.65814);IRTA - Estació de Gimenells;259;Gimenells i el Pla de la Font;Segrià;2;Operativa;12/10/1996 0:00
VE;Aitona;4.148.692;0.46058;POINT (0.46058 41.48692);Camí del canal de Seròs;97;Aitona;Segrià;2;Operativa;03/12/1998 0:00
XM;els Alamús;4.159.522;0.73507;POINT (0.73507 41.59522);-;235;Els Alamús;Segrià;2;Operativa;06/22/2011 12:00:00 AM
XN;Seròs;4.146.379;0.42765;POINT (0.42765 41.46379);EDAR Aitona-Seròs;89;Seròs;Segrià;2;Operativa;12/15/2011 12:00:00 AM
X7;Torres de Segre;4.151.909;0.55314;POINT (0.55314 41.51909);Torres de Segre;215;Torres de Segre;Segrià;2;Operativa;07/02/2007 0:00
XW;Lleida - la Bordeta;4.159.822;0.64855;POINT (0.64855 41.59822);Torre de Vallverdú;165;Lleida;Segrià;1;Desmantellada;07/24/2013 12:00:00 AM
VJ;Lleida - Pla de Lleida;4.159.957;0.6478;POINT (0.6478 41.59957);C. Pla de Lleida, 10 - Bordeta;161;Lleida;Segrià;1;Desmantellada;09/16/1997 12:00:00 AM
VF;Alcarràs - Torrent d'Alcarràs;4.156.482;0.54999;POINT (0.54999 41.56482);Partida Graminella;122;Alcarràs;Segrià;1;Desmantellada;09/17/1997 12:00:00 AM
VI;Lleida;4.162.918;0.59622;POINT (0.59622 41.62918);Av. Alcalde Rovira Roure;190;Lleida;Segrià;1;Desmantellada;03/30/1990 12:00:00 AM
CO;Torres de Segre - Depuradora;4.152.603;0.52711;POINT (0.52711 41.52603);Depuradora municipal;143.6;Torres de Segre;Segrià;1;Desmantellada;11/23/1995 12:00:00 AM
YJ;Lleida - la Femosa;4.158.462;0.64172;POINT (0.64172 41.58462);la Gabarrera;170;Lleida;Segrià;2;Operativa;08/21/2018 12:00:00 AM
VK;Raimat;4.168.328;0.4487;POINT (0.4487 41.68328);Finca Montserrat - Raimat;286;Lleida;Segrià;2;Operativa;08/31/1988 12:00:00 AM
X3;Alguaire;4.174.281;0.5358;POINT (0.5358 41.74281);Aeròdrom;370;Alguaire;Segrià;2;Operativa;06/02/2006 0:00
VL;Seròs - la Creu;4.146.014;0.40562;POINT (0.40562 41.46014);Crta. de Seròs a la Granja d'Escarp;100;Seròs;Segrià;1;Desmantellada;01/05/1998 0:00
YE;Massoteres;4.179.409;1.305.756;POINT (1.305756 41.79409);la Creu de Massoteres;513;Massoteres;Segarra;2;Operativa;05/17/2017 12:00:00 AM
C8;Cervera;4.167.555;129.609;POINT (1.29609 41.67555);Abocador comarcal;554;Cervera;Segarra;2;Operativa;10/27/1995 12:00:00 AM
VD;el Canós;4.168.939;120.381;POINT (1.20381 41.68939);Camí de la Figuerosa;429;Els Plans de Sió;Segarra;2;Operativa;10/22/1988 12:00:00 AM
CB;les Llosses;4.215.085;219.914;POINT (2.19914 42.15085);Abocador comarcal;700;Les Llosses;Ripollès;1;Desmantellada;11/30/1995 12:00:00 AM
CG;Molló - Fabert;4.237.717;241.456;POINT (2.41456 42.37717);Veïnat de Fabert;1405;Molló;Ripollès;2;Operativa;06/06/1996 0:00
Z4;Ulldeter (2.364 m);4.242.205;22.524;POINT (2.2524 42.42205);Ulldeter;2364;Setcases;Ripollès;1;Desmantellada;11/08/2000 0:00
M6;Sant Joan de les Abadesses;4.222.189;22.427;POINT (2.2427 42.22189);Agrupació Esportiva del Ripollès;730;Sant Joan de les Abadesses;Ripollès;2;Operativa;01/13/1996 12:00:00 AM
CI;Sant Pau de Segúries;4.225.839;236.429;POINT (2.36429 42.25839);Estació meteorològica municipal;852;Sant Pau de Segúries;Ripollès;2;Operativa;11/24/1995 12:00:00 AM
