,PM2.5,PM10,NO2,Pressió atmosfèrica,Temperatura,Velocitat del vent a 10 m (esc.),Alert
728,6.458333333333333,14.333333333333334,16.217391304347824,1016.1125,13.304166666666667,4.0062500000000005,1
729,10.041666666666666,13.041666666666666,37.41666666666666,1015.9104166666668,11.441666666666668,2.016666666666666,0
730,5.333333333333333,8.416666666666666,13.958333333333334,1015.3875,13.281249999999998,3.852083333333333,0
731,7.958333333333333,11.958333333333334,29.041666666666668,1021.0770833333332,9.477083333333336,1.7291666666666667,0
732,10.833333333333334,13.0,23.0,1020.4291666666668,9.835416666666667,1.45,0
733,10.25,13.291666666666666,31.166666666666668,1017.3270833333332,10.510416666666666,1.4354166666666666,1
734,16.791666666666668,20.666666666666668,32.708333333333336,1016.6979166666666,11.197916666666666,1.8500000000000003,0
735,2.708333333333333,5.125,10.291666666666666,1021.0604166666668,11.64375,3.852083333333334,0
736,6.625,9.833333333333334,28.043478260869566,1024.1979166666667,8.897916666666665,2.162499999999999,1
737,7.75,15.5,21.45833333333333,1012.9520833333332,10.975,5.200000000000002,0
738,1.9583333333333333,3.208333333333333,7.25,1004.6062500000002,11.264583333333333,4.635416666666667,0
739,5.166666666666667,6.625,18.33333333333333,1002.28125,11.29375,1.7791666666666668,0
740,3.375,17.291666666666668,9.91304347826087,1000.5125000000002,13.510416666666666,6.606249999999999,0
741,1.7083333333333333,4.125,5.958333333333333,1006.5791666666668,12.633333333333336,6.418749999999999,0
742,5.583333333333333,10.333333333333334,22.541666666666668,1013.1458333333328,12.779166666666669,2.283333333333333,0
743,10.916666666666666,15.416666666666666,26.75,1021.0333333333332,10.960416666666667,1.7770833333333336,1
744,11.666666666666666,15.791666666666666,27.782608695652176,1023.9562500000004,11.035416666666665,1.6583333333333334,1
745,18.0,21.916666666666668,31.875,1024.5333333333335,10.962499999999997,1.5020833333333332,1
746,16.25,20.541666666666668,21.916666666666668,1026.1374999999996,11.410416666666668,1.93125,0
747,12.666666666666666,19.541666666666668,33.625,1020.5395833333332,12.0,1.7020833333333336,1
748,16.291666666666668,23.95833333333333,38.30434782608695,1021.4041666666668,12.268749999999995,1.8166666666666669,1
749,21.666666666666668,29.20833333333333,24.70833333333333,1026.1291666666666,12.097916666666668,2.9020833333333336,1
750,19.291666666666668,25.33333333333333,32.476190476190474,1026.5145833333338,12.595833333333337,2.2833333333333328,1
751,24.875,35.416666666666664,49.91666666666666,1024.5458333333331,11.972916666666665,1.1354166666666667,1
752,23.291666666666668,37.25,18.39130434782609,1022.7979166666664,15.9125,3.8395833333333336,1
753,17.5,26.125,15.875,1020.2062499999996,17.166666666666668,3.075,1
754,14.208333333333334,22.125,41.208333333333336,1020.2541666666668,14.914583333333333,1.4770833333333335,1
755,18.875,25.25,42.625,1020.1833333333334,12.889583333333336,1.3729166666666666,1
756,16.333333333333332,23.0,30.95652173913044,1021.9395833333332,13.016666666666667,1.4375000000000002,1
757,21.75,27.875,33.125,1020.1479166666664,12.97291666666666,1.3937500000000005,1
758,19.541666666666668,23.5,22.125,1018.827083333333,13.597916666666665,1.6104166666666666,1
759,21.125,24.166666666666668,15.625,1011.675,14.102083333333336,1.8000000000000005,0
760,2.2916666666666665,6.875,4.3478260869565215,1013.8791666666668,12.05,6.147916666666666,0
761,3.125,6.0,12.75,1015.3520833333336,12.637500000000005,3.7875,0
762,3.8333333333333335,11.375,4.041666666666667,1010.4291666666664,12.370833333333335,6.83958333333333,0
763,2.083333333333333,4.208333333333333,12.875,1006.7687499999996,11.775,3.714583333333334,0
764,6.0,9.208333333333334,11.391304347826088,1010.1458333333334,11.554166666666667,2.8166666666666664,0
765,7.25,10.375,17.791666666666668,1012.975,11.95,3.002083333333333,0
766,12.375,25.166666666666668,6.875,1010.4104166666668,14.637499999999996,6.135416666666665,0
767,13.363636363636363,16.0,13.0,1011.95,13.547916666666666,2.5104166666666665,1
768,20.375,27.08333333333333,27.13043478260869,1014.7520833333332,14.045833333333333,1.402083333333333,1
769,16.916666666666668,23.416666666666668,24.625,1012.9187500000002,13.15416666666666,1.5729166666666672,0
770,14.0,24.666666666666668,29.75,1003.7770833333336,15.229166666666671,3.2020833333333343,1
771,13.958333333333334,22.541666666666668,29.791666666666668,997.6229166666668,13.43125,2.677083333333333,0
772,1.8333333333333333,2.875,5.913043478260869,1007.3729166666668,16.83333333333333,5.781249999999999,0
773,3.333333333333333,4.541666666666667,11.416666666666666,1014.0020833333328,18.03333333333333,3.00625,0
774,5.083333333333333,6.708333333333333,17.833333333333332,1018.4874999999998,15.44583333333334,1.6604166666666664,0
775,10.5,11.75,23.875,1019.1999999999996,13.55625,1.4645833333333331,1
776,15.666666666666666,17.125,25.75,1021.5562500000002,14.862499999999995,1.6250000000000009,0
777,7.0,9.416666666666666,21.0,1021.4979166666666,15.041666666666666,1.7541666666666664,0
778,11.458333333333334,14.458333333333334,25.83333333333333,1018.2854166666666,15.314583333333337,1.6604166666666669,1
779,12.666666666666666,15.375,24.041666666666668,1014.4708333333332,16.320833333333336,2.1124999999999994,0
780,12.208333333333334,14.375,22.043478260869566,1015.6791666666664,16.045833333333334,1.6916666666666662,0
781,14.708333333333334,17.791666666666668,15.125,1017.9875000000002,17.452083333333338,1.95625,0
782,10.708333333333334,13.041666666666666,21.45833333333333,1017.8250000000006,16.147916666666667,1.6000000000000003,1
783,18.047619047619047,20.142857142857142,32.2,1014.8875000000002,15.395833333333334,1.322916666666667,1
784,14.791666666666666,19.25,22.73913043478261,1018.55625,15.900000000000006,1.8791666666666664,0
785,10.333333333333334,13.916666666666666,19.08333333333333,1018.2416666666668,14.760416666666666,1.6395833333333334,0
786,13.916666666666666,17.333333333333332,16.916666666666668,1011.097916666667,16.162500000000005,1.9270833333333333,0
787,13.333333333333334,17.625,12.333333333333334,1005.5583333333326,15.425000000000002,2.575,0
788,8.958333333333334,11.041666666666666,12.652173913043478,1002.9770833333332,14.816666666666665,1.983333333333334,0
789,10.708333333333334,12.458333333333334,13.5,1003.5187499999996,15.008333333333333,2.2895833333333337,0
790,6.583333333333333,7.625,21.95833333333333,1011.3895833333332,16.189583333333335,1.7625,0
791,7.583333333333333,9.208333333333334,19.25,1018.2437499999996,16.635416666666668,1.808333333333333,0
792,8.791666666666666,10.666666666666666,22.869565217391305,1015.25,16.635416666666664,1.7354166666666668,0
793,2.75,5.375,8.166666666666666,1012.7333333333336,17.129166666666663,5.652083333333334,0
