,data,CO max,H2S max,NO max,NO2 max,NOx max,PM1 max,PM10 max,PM2.5 max,SO2 max,CO,H2S,NO,NO2,NOx,PM1,PM10,PM2.5,SO2
2089,2015-10-12,,,7.0,40.0,41.0,,,,8.0,,,2.5,22.75,26.291666666666668,,,,5.083333333333333
2090,2015-10-13,,,32.0,66.0,113.0,,,,5.0,,,8.791666666666666,34.333333333333336,47.375,,,,3.125
2091,2015-10-14,,,3.0,24.0,26.0,,,,5.0,,,1.4583333333333333,11.625,13.25,,,,2.8333333333333335
2092,2015-10-15,,1.7,30.0,100.0,120.0,,,,19.0,,1.2777777777777777,7.375,34.083333333333336,44.833333333333336,,,,5.041666666666667
2093,2015-10-16,,1.6,41.0,94.0,140.0,,,,14.0,,1.1125,9.958333333333334,36.666666666666664,51.583333333333336,,,,4.666666666666667
2094,2015-10-17,,1.5,17.0,68.0,75.0,,,,6.0,,1.0958333333333334,4.083333333333333,34.166666666666664,39.916666666666664,,,,3.625
2095,2015-10-18,,4.9,11.0,76.0,91.0,,,,5.0,,1.3,3.5416666666666665,29.041666666666668,33.916666666666664,,,,3.8333333333333335
2096,2015-10-19,,1.7,23.0,67.0,101.0,,,,6.0,,1.1500000000000001,6.041666666666667,38.375,47.0,,,,3.8333333333333335
2097,2015-10-20,,,62.0,56.0,145.0,,24.0,11.0,6.0,,,10.791666666666666,35.166666666666664,51.458333333333336,,19.545454545454547,9.0,4.416666666666667
2098,2015-10-21,,1.8,24.0,79.0,101.0,,38.0,22.0,13.0,,1.2583333333333333,5.666666666666667,27.041666666666668,34.958333333333336,,21.458333333333332,9.875,4.541666666666667
2099,2015-10-22,,1.5,11.0,33.0,49.0,,32.0,9.0,6.0,,1.125,2.1666666666666665,12.083333333333334,14.666666666666666,,17.916666666666668,6.0,3.5833333333333335
2100,2015-10-23,,3.4,99.0,94.0,215.0,,32.0,24.0,10.0,,1.6541666666666668,17.875,38.625,65.33333333333333,,15.041666666666666,8.583333333333334,4.583333333333333
2101,2015-10-24,,1.7,25.0,93.0,127.0,,37.0,29.0,8.0,,1.225,6.041666666666667,37.375,46.166666666666664,,19.291666666666668,15.083333333333334,5.041666666666667
2102,2015-10-25,,3.0,12.0,45.0,57.0,,29.0,21.0,16.0,,1.5708333333333335,3.25,27.208333333333332,31.875,,19.791666666666668,14.833333333333334,5.166666666666667
2103,2015-10-26,,2.0,48.0,63.0,132.0,,30.0,19.0,8.0,,1.2125000000000004,7.208333333333333,34.375,44.708333333333336,,20.583333333333332,14.25,5.541666666666667
2104,2015-10-27,,2.0,25.0,61.0,99.0,,25.0,22.0,8.0,,1.1708333333333336,4.083333333333333,30.541666666666668,36.375,,18.75,15.791666666666666,5.291666666666667
2105,2015-10-28,,1.2,32.0,88.0,138.0,,28.0,18.0,6.0,,1.0416666666666667,5.875,26.916666666666668,35.583333333333336,,10.583333333333334,5.083333333333333,4.25
