,data_lectura,Pressió atmosfèrica màxima,Pressió atmosfèrica mínima,Humitat relativa màxima,Velocitat del vent a 10 m (esc.),Direcció de vent 10 m (m. 1),Temperatura,Humitat relativa,Pressió atmosfèrica,Precipitació,Irradiància solar global,Temperatura màxima,Temperatura mínima,Humitat relativa mínima,Ratxa màxima del vent a 10 m,Direcció de la ratxa màxima del vent a 10 m,Precipitació màxima en 1 minut
1528,2014-03-09,1026.2541666666666,1026.0249999999999,71.70833333333333,1.9312499999999995,118.125,11.410416666666668,69.60416666666667,1026.1374999999996,0.0,226.1875,11.883333333333333,10.947916666666666,67.33333333333333,3.6770833333333326,97.25,0.0
1529,2014-03-10,1020.6895833333334,1020.3833333333337,64.10416666666667,1.7020833333333336,160.77083333333334,12.0,61.166666666666664,1020.5395833333332,0.0,226.54166666666666,12.489583333333334,11.477083333333331,58.458333333333336,3.5958333333333337,154.91666666666666,0.0
1530,2014-03-11,1021.5437499999999,1021.2625000000003,69.0625,1.8166666666666667,68.8125,12.268749999999997,67.1875,1021.4041666666667,0.0,184.60416666666666,12.65625,11.922916666666666,65.5,3.3562499999999993,78.47916666666667,0.0
1531,2014-03-12,1026.25,1026.0,67.83333333333333,2.9020833333333336,50.020833333333336,12.097916666666668,66.27083333333333,1026.1291666666666,0.0,187.0625,12.447916666666663,11.768749999999997,64.64583333333333,5.825,68.16666666666667,0.0
1532,2014-03-13,1026.6416666666669,1026.3854166666667,70.625,2.2833333333333328,88.75,12.595833333333337,69.29166666666667,1026.5145833333338,0.0,225.41666666666666,12.924999999999999,12.293749999999996,67.9375,4.402083333333333,91.27083333333333,0.0
1533,2014-03-14,1024.65,1024.4333333333336,63.770833333333336,1.1354166666666667,151.9375,11.972916666666665,61.354166666666664,1024.5458333333333,0.0,180.625,12.406249999999995,11.572916666666664,58.583333333333336,2.4041666666666663,140.41666666666666,0.0
1534,2014-03-15,1022.947916666667,1022.6312500000003,46.708333333333336,3.8395833333333336,263.2291666666667,15.9125,45.25,1022.7979166666664,0.0,230.60416666666666,16.35208333333333,15.481250000000001,43.9375,7.0354166666666655,251.14583333333334,0.0
1535,2014-03-16,1020.3666666666668,1020.0354166666667,52.25,3.0749999999999997,237.29166666666666,17.166666666666668,50.604166666666664,1020.2062499999997,0.0,237.02083333333334,17.610416666666666,16.700000000000003,49.270833333333336,5.827083333333337,237.72916666666666,0.0
1536,2014-03-17,1020.3666666666667,1020.1458333333338,65.89583333333333,1.4770833333333337,184.29166666666666,14.914583333333331,63.041666666666664,1020.2541666666667,0.0,238.14583333333334,15.456249999999999,14.412499999999994,60.604166666666664,2.8125000000000004,183.8125,0.0
1537,2014-03-18,1020.3041666666667,1020.0604166666667,83.0,1.3729166666666666,97.0,12.889583333333336,81.35416666666667,1020.1833333333334,0.0,230.16666666666666,13.299999999999999,12.53125,79.52083333333333,2.527083333333333,100.95833333333333,0.0
1538,2014-03-19,1022.058333333333,1021.8229166666665,76.5,1.4375000000000002,182.52083333333334,13.016666666666667,74.4375,1021.9395833333332,0.0,188.25,13.42291666666666,12.61458333333333,72.41666666666667,2.8520833333333333,148.29166666666666,0.0
1539,2014-03-20,1020.2520833333336,1020.0270833333334,80.9375,1.3937500000000005,126.375,12.972916666666661,79.52083333333333,1020.1479166666663,0.0,170.95833333333334,13.299999999999999,12.643749999999999,78.0625,2.7104166666666667,118.6875,0.0
1540,2014-03-21,1018.9666666666664,1018.6937500000004,85.41666666666667,1.6104166666666666,152.4375,13.597916666666663,84.29166666666667,1018.827083333333,0.004166666666666667,160.375,13.93125,13.327083333333336,83.02083333333333,3.097916666666667,160.54166666666666,0.004166666666666667
1541,2014-03-22,1011.8979166666668,1011.44375,81.35416666666667,1.8000000000000005,225.14583333333334,14.102083333333335,78.95833333333333,1011.6750000000001,0.025000000000000005,133.75,14.431249999999999,13.741666666666669,76.70833333333333,3.991666666666667,222.79166666666666,0.006250000000000001
1542,2014-03-23,1014.1458333333331,1013.56875,42.291666666666664,6.147916666666666,244.08333333333334,12.049999999999999,41.083333333333336,1013.8791666666667,0.0,271.2083333333333,12.372916666666669,11.745833333333335,39.75,11.706249999999995,249.16666666666666,0.0
1543,2014-03-24,1015.5208333333334,1015.1645833333333,52.666666666666664,3.7875,254.27083333333334,12.637500000000003,50.520833333333336,1015.3520833333336,0.0,236.0625,13.008333333333338,12.262500000000001,48.4375,7.514583333333332,252.85416666666666,0.0
1544,2014-03-25,1010.7999999999997,1010.0125000000004,52.020833333333336,6.83958333333333,290.4583333333333,12.370833333333337,50.520833333333336,1010.4291666666664,0.006250000000000001,100.16666666666667,12.593750000000002,12.122916666666661,49.083333333333336,13.14166666666666,290.1875,0.006250000000000001
1545,2014-03-26,1006.9270833333334,1006.5833333333334,56.020833333333336,3.714583333333334,243.83333333333334,11.775,54.083333333333336,1006.7687499999997,0.0,206.9375,12.21875,11.38541666666667,52.333333333333336,7.760416666666667,249.85416666666666,0.0
1546,2014-03-27,1010.2958333333331,1010.0104166666666,57.5625,2.8166666666666664,235.08333333333334,11.554166666666669,55.708333333333336,1010.1458333333334,0.0,262.625,12.016666666666667,11.158333333333333,53.75,5.610416666666665,242.54166666666666,0.0
1547,2014-03-28,1013.1104166666668,1012.814583333333,73.02083333333333,3.002083333333333,69.6875,11.950000000000001,71.4375,1012.975,0.0,209.66666666666666,12.26041666666667,11.627083333333337,70.08333333333333,5.929166666666666,70.70833333333333,0.0
1548,2014-03-29,1010.6437500000002,1010.1416666666665,65.9375,6.135416666666665,66.58333333333333,14.637499999999996,64.95833333333333,1010.4104166666667,0.0,195.08333333333334,14.845833333333324,14.433333333333335,64.04166666666667,12.022916666666665,63.166666666666664,0.0
